Province/State,Country/Region,Lat,Long,05-12-2020
Jilin,China,43.6661,126.1923,133
Liaoning,China,41.2956,122.6085,147
Macau,China,22.1667,113.55,45
Ningxia,China,37.2692,106.1655,75
Qinghai,China,35.7452,95.9956,18
Shaanxi,China,35.1917,108.8701,308
Shandong,China,36.3427,118.1498,788
Shanghai,China,31.202,121.4491,660
Shanxi,China,37.5777,112.2922,198
Sichuan,China,30.6171,102.7103,561
Tianjin,China,39.3054,117.323,191
Tibet,China,31.6927,88.0924,1
Xinjiang,China,41.1129,85.2401,76
Yunnan,China,24.974,101.487,185
Zhejiang,China,29.1832,120.0934,1268
,Colombia,4.5709,-74.2973,12272
,Congo (Brazzaville),-4.0383,21.7587,333
,Congo (Kinshasa),-4.0383,21.7587,1102
,Costa Rica,9.7489,-83.7534,804
,Cote d'Ivoire,7.54,-5.5471,1857
,Croatia,45.1,15.2,2207
,Diamond Princess,0,0,712
,Cuba,22,-80,1804
,Cyprus,35.1264,33.4299,903
,Czechia,49.8175,15.473,8221
Faroe Islands,Denmark,61.8926,-6.9118,187
Greenland,Denmark,71.7069,-42.6043,11
,Denmark,56.2639,9.5018,10591
,Djibouti,11.8251,42.5903,1256
,Dominican Republic,18.7357,-70.1627,10900
,Ecuador,-1.8312,-78.1834,30419
,Egypt,26,30,10093
,El Salvador,13.7942,-88.8965,998
,Equatorial Guinea,1.5,10,439
,Eritrea,15.1794,39.7823,39
,Estonia,58.5953,25.0136,1746
,Eswatini,-26.5225,31.4659,184
,Ethiopia,9.145,40.4897,261
,Fiji,-17.7134,178.065,18
,Finland,64,26,6003
French Guiana,France,3.9339,-53.1258,144
French Polynesia,France,-17.6797,149.4068,60
Guadeloupe,France,16.25,-61.5833,155
Mayotte,France,-12.8275,45.1662,1095
New Caledonia,France,-20.9043,165.618,18
Reunion,France,-21.1351,55.2471,437
Saint Barthelemy,France,17.9,-62.8333,6
St Martin,France,18.0708,-63.0501,39
Martinique,France,14.6415,-61.0242,187
,France,46.2276,2.2137,176207
,Gabon,-0.8037,11.6094,863
,Gambia,13.4432,-15.3101,22
,Georgia,42.3154,43.3569,642
,Germany,51,9,173171
,Ghana,7.9465,-1.0232,5127
,Greece,39.0742,21.8243,2744
,Guatemala,15.7835,-90.2308,1199
,Guinea,9.9456,-9.6966,2298
,Guyana,5,-58.75,113
,Haiti,18.9712,-72.2852,209
,Holy See,41.9029,12.4534,12
,Honduras,15.2,-86.2419,2080
,Hungary,47.1625,19.5033,3313
,Iceland,64.9631,-19.0208,1801
,India,21,78,74292
,Indonesia,-0.7893,113.9213,14749
,Iran,32,53,110767
,Iraq,33,44,2913
,Ireland,53.1424,-7.6921,23242
,Israel,31,35,16529
,Italy,43,12,221216
,Jamaica,18.1096,-77.2975,507
,Japan,36,138,15968
,Jordan,31.24,36.51,576
,Kazakhstan,48.0196,66.9237,5279
,Kenya,-0.0236,37.9062,715
,"Korea, South",36,128,10962
,Kuwait,29.5,47.75,10277
,Kyrgyzstan,41.2044,74.7661,1037
,Latvia,56.8796,24.6032,950
,Lebanon,33.8547,35.8623,870
,Liberia,6.4281,-9.4295,211
,Liechtenstein,47.14,9.55,82
,Lithuania,55.1694,23.8813,1491
,Luxembourg,49.8153,6.1296,3894
,Madagascar,-18.7669,46.8691,186
,Malaysia,2.5,112.5,6742
,Maldives,3.2028,73.2207,904
,Malta,35.9375,14.3754,506
,Mauritania,21.0079,10.9408,9
,Mauritius,-20.2,57.5,332
,Mexico,23.6345,-102.5528,38324
,Moldova,47.4116,28.3699,5154
,Monaco,43.7333,7.4167,96
,Mongolia,46.8625,103.8467,42
,Montenegro,42.5,19.3,324
,Morocco,31.7917,-7.0926,6418
,Namibia,-22.9576,18.4904,16
,Nepal,28.1667,84.25,217
Aruba,Netherlands,12.5186,-70.0358,101
Curacao,Netherlands,12.1696,-68.99,16
Sint Maarten,Netherlands,18.0425,-63.0548,76
,Netherlands,52.1326,5.2913,42984
,New Zealand,-40.9006,174.886,1497
,Nicaragua,12.8654,-85.2072,25
,Niger,17.6078,8.0817,854
,Nigeria,9.082,8.6753,4787
,North Macedonia,41.6086,21.7453,1674
,Norway,60.472,8.4689,8157
,Oman,21,57,3721
,Pakistan,30.3753,69.3451,34336
,Panama,8.538,-80.7821,8783
,Papua New Guinea,-6.315,143.9555,8
,Paraguay,-23.4425,-58.4438,737
,Peru,-9.19,-75.0152,72059
,Philippines,13,122,11350
,Poland,51.9194,19.1451,16921
,Portugal,39.3999,-8.2245,27913
,Qatar,25.3548,51.1839,25149
,Romania,45.9432,24.9668,15778
,Russia,60,90,232243
,Rwanda,-1.9403,29.8739,286
,Saint Lucia,13.9094,-60.9789,18
,Saint Vincent and the Grenadines,12.9843,-61.2872,17
,San Marino,43.9424,12.4578,638
,Saudi Arabia,24,45,42925
,Senegal,14.4974,-14.4524,1995
,Serbia,44.0165,21.0059,10243
,Seychelles,-4.6796,55.492,11
,Singapore,1.2833,103.8333,24671
,Slovakia,48.669,19.699,1465
,Slovenia,46.1512,14.9955,1461
,Somalia,5.1521,46.1996,1170
,South Africa,-30.5595,22.9375,11350
,Spain,40,-4,228030
,Sri Lanka,7,81,889
,Sudan,12.8628,30.2176,1661
,Suriname,3.9193,-56.0278,10
,Sweden,63,16,27272
,Switzerland,46.8182,8.2275,30380
,Taiwan*,23.7,121,440
,Tanzania,-6.369,34.8888,509
,Thailand,15,101,3017
,Togo,8.6195,0.8248,199
,Trinidad and Tobago,10.6918,-61.2225,116
,Tunisia,34,9,1032
,Turkey,38.9637,35.2433,141475
,Uganda,1,32,129
,Ukraine,48.3794,31.1656,16023
,United Arab Emirates,24,54,19661
Bermuda,United Kingdom,32.3078,-64.7505,121
Cayman Islands,United Kingdom,19.3133,-81.2546,85
Channel Islands,United Kingdom,49.3723,-2.3644,547
Gibraltar,United Kingdom,36.1408,-5.3536,148
Isle of Man,United Kingdom,54.2361,-4.5481,331
Montserrat,United Kingdom,16.7425,-62.1874,11
,United Kingdom,55.3781,-3.436,226463
,Uruguay,-32.5228,-55.7658,717
,US,37.0902,-95.7129,1369376
,Uzbekistan,41.3775,64.5853,2519
,Venezuela,6.4238,-66.5897,423
,Vietnam,16,108,288
,Zambia,-15.4167,28.2833,441
,Zimbabwe,-20,30,36
Diamond Princess,Canada,0,0,1
,Dominica,15.415,-61.371,16
,Grenada,12.1165,-61.679,21
,Mozambique,-18.665695,35.529562,104
,Syria,34.802075,38.996815,47
,Timor-Leste,-8.874217,125.727539,24
,Belize,13.1939,-59.5432,18
Recovered,Canada,0,0,0
,Laos,19.85627,102.495496,19
,Libya,26.3351,17.228331,64
,West Bank and Gaza,31.9522,35.2332,375
,Guinea-Bissau,11.8037,-15.1804,820
,Mali,17.570692,-3.996166,730
,Saint Kitts and Nevis,17.357822,-62.782998,15
Northwest Territories,Canada,64.8255,-124.8457,5
Yukon,Canada,64.2823,-135,11
,Kosovo,42.602636,20.902977,919
,Burma,21.9162,95.956,180
Anguilla,United Kingdom,18.2206,-63.0686,3
British Virgin Islands,United Kingdom,18.4207,-64.64,7
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,12
,MS Zaandam,0,0,9
,Botswana,-22.3285,24.6849,24
,Burundi,-3.3731,29.9189,15
,Sierra Leone,8.460555,-11.779889,338
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,6
,Malawi,-13.254308,34.301525,57
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,13
Saint Pierre and Miquelon,France,46.8852,-56.3159,1
,South Sudan,6.877,31.307,194
,Western Sahara,24.2155,-12.8858,6
,Sao Tome and Principe,0.18636,6.613081,208
,Yemen,15.552727,48.516388,65
,Comoros,-11.6455,43.3333,11
,Tajikistan,38.861034,71.276093,729
